Gender , Area ,Faculty,College_Location ,father_edu,mother_edu,father_occ,mother_occ,income,attendance,lecture_attendance,assignment_submit,teacher_help,study_hours,study_management,study_method,Percentage,internal_performance,Backlogs,internet_access,online_platforms_usage,responsibilities_affect_study,Challenge_1,Challenge_2,Challenge_3,Challenge_4,Challenge_5,Challenge_6,Challenge_Score,distraction,parent_support,Motivation_1,Motivation_2,Motivation_3,Motivation_4,Motivation_5,Motivation_6,Motivation_Score ,Stress,family_pressure,Sleep_Hours,support_needed
0,0,Science,1,2,3,Farmer,Farmer,1,3,4,4,4,2,3, Group study,85,2,0,2,2,4,1,2,2,0,1,1,7, Mobile / TV / Laptop   Friends  Lack of interest ,1,2,2,2,2,2,2,12,3,1,3, Personal counselling  Study materials  Time management tips  Group study discussions  Career guidance  More interactive teaching 
0,0,Science,0,3,1,Farmer,Farmer,1,1,2,4,4,2,3, Self-study,80,2,0,2,4,3,1,0,1,0,2,0,4," Mobile / TV / Laptop   Social media (WhatsApp, Instagram, etc.) ",1,3,3,3,3,2,1,15,2,1,1, Time management tips  Group study discussions  Career guidance 
0,0,Commerce,0,1,2,Farmer,Farmer,1,3,4,4,3,3,3, Self-study,73,1,0,4,4,3,1,2,4,1,2,2,12," Social media (WhatsApp, Instagram, etc.) ",1,1,2,1,3,1,2,10,2,2,3, Career guidance  More interactive teaching 
0,0,Arts,0,3,1,Farmer,Farmer,1,1,3,4,4,2,3, Group study Online tutorials Practice tests,70,2,0,2,4,3,2,0,1,2,1,0,6," Mobile / TV / Laptop   Social media (WhatsApp, Instagram, etc.) ",1,3,1,2,3,3,0,12,2,1,1, Study materials  Time management tips  Career guidance 
1,0,Science,1,3,1,Farmer,Unemployed (not currently working),1,3,4,4,3,3,3, Self-study Online tutorials,87,2,0,3,3,4,1,2,4,0,1,2,10," Mobile / TV / Laptop   Social media (WhatsApp, Instagram, etc.) ",1,1,1,3,2,4,1,12,3,2,2, Personal counselling  Time management tips  Career guidance  More interactive teaching 
1,0,Science,1,2,2,Business,Business,3,2,4,4,4,3,3, Self-study,65,2,0,3,4,4,2,0,2,3,2,2,11," Social media (WhatsApp, Instagram, etc.)  Health issues ",1,4,4,2,3,2,1,16,2,1,3, Personal counselling  Study materials  Time management tips  Career guidance  More interactive teaching 
0,0,Science,1,2,3,Farmer,Farmer,1,3,4,4,4,2,4, Note-taking Self-study,92.3,1,0,3,2,3,3,4,2,3,2,0,14, Mobile / TV / Laptop  ,1,3,1,2,4,0,1,11,2,1,3, Time management tips 
0,0,Management,1,2,2,Farmer,Farmer,1,3,4,4,1,3,5, Self-study Online tutorials Practice tests,75.8,4,0,3,4,1,1,1,0,0,1,0,3," Lack of interest  Social media (WhatsApp, Instagram, etc.) ",1,2,2,2,0,0,1,7,2,1,3, Personal counselling  Time management tips  Group study discussions 
0,0,Management,0,4,2,Private sector job,Unemployed (not currently working),1,3,4,4,4,2,3, Note-taking,80,3,0,4,4,1,2,2,2,2,2,2,12, Mobile / TV / Laptop  ,1,4,3,2,2,2,1,14,3,1,3, Personal counselling 
0,0,Management,1,2,2,Farmer,Farmer,1,1,2,4,1,3,3, Note-taking Self-study Online tutorials,70,4,0,3,4,3,2,3,4,2,1,3,15," Lack of interest  Social media (WhatsApp, Instagram, etc.) ",1,2,4,2,0,2,3,13,2,2,2, Study materials  Time management tips  Group study discussions  Career guidance  More interactive teaching 
